"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1",1,"Alabama A & M University","Normal","AL","35762","0.5438","460","18","0.2573705179","0.0301","0.1372","0.0395","0.1015","0.0075",NA,"0.015",NA,"0.3222","32900","36100","39000","NULL",1
"2",2,"University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.7223","640","26","0.4446555819","0.009","0.0578",NA,"0.0722","0.0159",NA,"0.0184",NA,"0.4815","45900","44100","49500","NULL",1
"3",3,"Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.2866666667","0.0095",NA,NA,NA,NA,NA,NA,NA,"0","PrivacySuppressed","44800","PrivacySuppressed","NULL",1
"4",4,"University of Alabama in Huntsville","Huntsville","AL","35899","0.7766","640","28","0.3792270531","0.0249","0.2648",NA,"0.071","0.0175",NA,"0.0203",NA,"0.4732","45800","52700","53300","NULL",1
"5",5,"Alabama State University","Montgomery","AL","36104-0271","0.4604","480","18","0.1845416417","0.0701",NA,NA,"0.0867","0.0295",NA,"0.0111",NA,"0.2635","27900","31100","32200","NULL",1
"6",6,"The University of Alabama","Tuscaloosa","AL","35487-0166","0.5308","640","28","0.5043182413","0.0056","0.0745",NA,"0.035","0.0067",NA,"0.0107",NA,"0.6655","45800","48900","50200","NULL",1
"8",8,"Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5117056856","0.0372",NA,NA,"0.0319","0.0266",NA,NA,NA,"NULL","38100","44300","44700","NULL",1
"9",9,"Auburn University at Montgomery","Montgomery","AL","36117-3596","0.7395","NULL","24","0.2631578947",NA,NA,NA,"0.1079","0.0128",NA,"0.0238",NA,"0.3004","33900","41100","41200","NULL",1
"10",10,"Auburn University","Auburn","AL","36849","0.7723","650","28","0.3109151047","0.0063","0.1631",NA,"0.07","0.0077",NA,"0.0084",NA,"0.6827","52300","51400","53800","NULL",1
"11",11,"Birmingham Southern College","Birmingham","AL","35254","0.6522","610","27","0.3940520446","0.0029","0.0147",NA,"0.1059","0.0382",NA,"0.0412",NA,"0.6552","PrivacySuppressed","PrivacySuppressed","49900","NULL",1
"13",13,"Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","0.0376175549",NA,NA,NA,NA,NA,NA,NA,NA,"0.0912","22800","PrivacySuppressed","PrivacySuppressed","NULL",1
"14",14,"South University-Montgomery","Montgomery","AL","36116","0.7397","NULL","NULL","0.1478132193","0.1193",NA,NA,NA,NA,NA,NA,NA,"0.15","29200","40600","46400","NULL",1
"17",17,"Faulkner University","Montgomery","AL","36109-3390","NULL","NULL","NULL","0.256496228","0.0156",NA,NA,"0.0069","0.0052",NA,NA,NA,"0.3317","35000","45200","53200","NULL",1
"23",23,"Herzing University-Birmingham","Birmingham","AL","35209","0.8222","NULL","NULL","0.2944542254","0.1176",NA,"0.0802",NA,NA,NA,NA,NA,"0.4386","38500","47600","47700","NULL",1
"24",24,"Huntingdon College","Montgomery","AL","36106-2148","0.6054","513","23","0.4846796657",NA,NA,NA,"0.0847","0.0202",NA,"0.0323",NA,"0.4673","36200","40400","43800","NULL",1
"25",25,"Heritage Christian University","Florence","AL","35630-9977","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1
"27",27,"Jacksonville State University","Jacksonville","AL","36265","0.8232","540","24","0.285198556","0.0159",NA,"0.0191","0.0429","0.0111",NA,"0.0072",NA,"0.2857","33600","38300","39900","NULL",1
