"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1",1,"Alabama A & M University","Normal","AL","35762","0.501","450","18","0.2493224932","0.0258","0.0856","0.0404","0.0985","0.0162",NA,"0.0226",NA,"0.3171","33400","35300","41400","51400",1
"2",2,"University of Alabama at Birmingham","Birmingham","AL","35294-0110","0.7223","640","26","0.4324198792","0.0139","0.0551",NA,"0.0819","0.0094",NA,"0.0184",NA,"0.4462","45900","44400","49700","66200",1
"3",3,"Amridge University","Montgomery","AL","36117-3553","NULL","NULL","NULL","0.3218390805","0.0198",NA,NA,NA,NA,NA,NA,NA,"0.25","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","75400",1
"4",4,"University of Alabama in Huntsville","Huntsville","AL","35899","0.6368","670","28","0.3728350046","0.0292","0.2471",NA,"0.0652","0.0146",NA,"0.0311",NA,"0.4537","47800","53900","57700","70300",1
"5",5,"Alabama State University","Montgomery","AL","36104-0271","0.508","450","16","0.1168539326","0.0775",NA,NA,"0.1074","0.0123",NA,"0.0053",NA,"0.2621","28900","31900","36600","39800",1
"6",6,"The University of Alabama","Tuscaloosa","AL","35487-0166","0.4353","640","27","0.4968759298","0.0043","0.0704",NA,"0.0367","0.0058",NA,"0.0121",NA,"0.6579","46800","49800","50000","61600",1
"8",8,"Athens State University","Athens","AL","35611","NULL","NULL","NULL","0.5174353206","0.0219",NA,NA,"0.0208","0.0395",NA,"0.0021",NA,"NULL","38600","43300","44600","61200",1
"9",9,"Auburn University at Montgomery","Montgomery","AL","36117-3596","0.7894","NULL","21","0.2711267606",NA,NA,NA,"0.0891","0.0141",NA,"0.0188",NA,"0.3327","33800","40500","37800","55900",1
"10",10,"Auburn University","Auburn","AL","36849","0.7","620","28","0.0927062031","0.0041","0.1475",NA,"0.0592","0.0065",NA,"0.0077",NA,"0.6628","49900","52900","52600","67000",1
"11",11,"Birmingham Southern College","Birmingham","AL","35254","0.6418","630","27","0.2233333333","0.0312",NA,NA,"0.1059","0.0623",NA,"0.0312",NA,"0.6297","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","58300",1
"13",13,"Concordia College Alabama","Selma","AL","36701","NULL","NULL","NULL","PrivacySuppressed",NA,NA,NA,NA,NA,NA,NA,NA,"0.0515","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36600",1
"14",14,"South University-Montgomery","Montgomery","AL","36116","0.5533","NULL","NULL","0.159801877","0.1376",NA,NA,NA,NA,NA,NA,NA,"0.1087","30200","41900","45300","74600",1
