SAT Frequency 
[1] 1291
    SAT         SATF
0.3461   1 0.0005274262
0.3486   1 0.0005274262
0.3498   1 0.0005274262
0.3505   1 0.0005274262
0.3506   1 0.0005274262
0.351    1 0.0005274262
0.3511   1 0.0005274262
0.352    1 0.0005274262
0.3544   1 0.0005274262
0.355    1 0.0005274262
0.3551   1 0.0005274262
0.3568   1 0.0005274262
0.357    1 0.0005274262
0.3585   1 0.0005274262
0.359    1 0.0005274262
0.3604   1 0.0005274262
0.3605   1 0.0005274262
0.3614   1 0.0005274262
0.3617   1 0.0005274262
0.3621   1 0.0005274262
0.3639   1 0.0005274262
0.3645   1 0.0005274262
0.3668   1 0.0005274262
0.3702   1 0.0005274262
0.3704   2 0.0010548523
0.3705   1 0.0005274262
0.3711   1 0.0005274262
0.3723   1 0.0005274262
0.3728   1 0.0005274262
0.3734   1 0.0005274262
0.374    1 0.0005274262
0.3743   1 0.0005274262
0.3745   2 0.0010548523
0.375    2 0.0010548523
0.3751   1 0.0005274262
0.3759   1 0.0005274262
0.3761   1 0.0005274262
0.3762   1 0.0005274262
0.3766   1 0.0005274262
0.3774   1 0.0005274262
0.38     1 0.0005274262
0.3802   1 0.0005274262
0.3816   1 0.0005274262
0.3826   1 0.0005274262
0.3838   1 0.0005274262
0.3845   1 0.0005274262
0.3856   1 0.0005274262
0.3889   1 0.0005274262
0.3895   1 0.0005274262
0.3904   1 0.0005274262
0.3931   1 0.0005274262
0.3948   1 0.0005274262
0.3973   1 0.0005274262
0.3978   1 0.0005274262
0.3986   1 0.0005274262
0.3992   1 0.0005274262
0.4      1 0.0005274262
0.4019   1 0.0005274262
0.4044   1 0.0005274262
0.4058   1 0.0005274262
0.4059   1 0.0005274262
0.4066   1 0.0005274262
0.4097   1 0.0005274262
0.4103   1 0.0005274262
0.4106   1 0.0005274262
0.4107   2 0.0010548523
0.412    1 0.0005274262
0.4129   1 0.0005274262
0.4133   1 0.0005274262
0.4136   1 0.0005274262
0.4159   1 0.0005274262
0.4163   1 0.0005274262
0.4168   1 0.0005274262
0.4172   1 0.0005274262
0.4177   1 0.0005274262
0.4188   1 0.0005274262
0.4189   1 0.0005274262
0.4207   1 0.0005274262
0.4216   1 0.0005274262
0.423    1 0.0005274262
0.4232   1 0.0005274262
0.4239   2 0.0010548523
0.4257   1 0.0005274262
0.4267   1 0.0005274262
0.4287   1 0.0005274262
0.43     1 0.0005274262
0.4308   1 0.0005274262
0.4311   1 0.0005274262
0.4312   1 0.0005274262
0.4321   1 0.0005274262
0.4327   1 0.0005274262
0.4331   1 0.0005274262
0.4336   1 0.0005274262
0.4339   1 0.0005274262
0.4349   1 0.0005274262
0.4354   1 0.0005274262
0.4359   1 0.0005274262
0.4363   1 0.0005274262
0.4365   1 0.0005274262
0.4366   1 0.0005274262
0.4377   1 0.0005274262
0.4379   1 0.0005274262
0.4401   1 0.0005274262
0.4404   1 0.0005274262
0.4405   1 0.0005274262
0.4439   1 0.0005274262
0.444    1 0.0005274262
0.4442   1 0.0005274262
0.4444   2 0.0010548523
0.4471   1 0.0005274262
0.4472   1 0.0005274262
0.4478   1 0.0005274262
0.448    1 0.0005274262
0.4484   1 0.0005274262
0.4486   1 0.0005274262
0.4487   1 0.0005274262
0.4489   1 0.0005274262
0.45     2 0.0010548523
0.4502   1 0.0005274262
0.4503   1 0.0005274262
0.4521   2 0.0010548523
