"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"1970",1970,"University of Minnesota-Twin Cities","Minneapolis","MN","55455-0213","0.4951",740,30,"0.6423605223","0.0192","0.1024","0.0003","0.09","0.0235","0","0.0236","0","0.7294","56500","53300",55500,"NULL",1
"2180",2180,"Washington University in St Louis","Saint Louis","MO","63130-4899","0.1788",790,35,"0.8352112676","0.0195","0.1403","0","0.077","0.0249","0","0.0379","0","0.9402","92900","66700",82400,"NULL",1
"2266",2266,"Dartmouth College","Hanover","NH","03755-3529","0.1014",780,NA,"0.8545454545","0.0201","0.0723","0","0.107","0.0339","0","0.0366","0","0.9583","110800","92000",98300,"NULL",1
"2361",2361,"Princeton University","Princeton","NJ","08544-0070","0.0785",800,35,"0.7904411765","0","0.1819","0","0.0897","0.0288","0","0.0705","0","0.9601","105700","110400",109300,"NULL",1
"2476",2476,"Columbia University in the City of New York","New York","NY","10027","0.0695",790,35,"0.7869623656","0.0257","0.1785","0","0.0628","0.0297","0","0.0317","0","0.9505","100800","90800",109200,"NULL",1
"2484",2484,"Cornell University","Ithaca","NY","14853","0.1655",780,NA,"0.8879524046","0.0334","0.1805","0","0.1301","0.012","0","0.0273","0","0.9335","106000","89300",94300,"NULL",1
"2529",2529,"Hamilton College","Clinton","NY","13323","0.272",740,NA,"0.8483412322","0.013","0","0","0.1234","0.0433","0","0.0519","0","0.9082","57300","72800",76100,"NULL",1
"2603",2603,"New York University","New York","NY","10012-1091","0.3504",740,NA,"0.734335129","0.0081","0.003","0","0.0294","0.0087","0","0.0089","0","0.8493","76500","76100",76800,"NULL",1
"2632",2632,"Rensselaer Polytechnic Institute","Troy","NY","12180-3590","0.4358",760,NA,"0.7605893186","0.0932","0.5281","0.0426","0.0764","0.0201","0","0.0506","0","0.8448","81600","83200",84400,"NULL",1
"2637",2637,"University of Rochester","Rochester","NY","14627-0011","0.3532",740,33,"0.781779661","0.0192","0.1135","0","0.1265","0.0492","0","0.0438","0","0.854","105500","71400",67000,"NULL",1
"2717",2717,"Vassar College","Poughkeepsie","NY","12604","0.2284",740,33,"0.8687150838","0.0117","0","0","0.1189","0.0285","0","0.0452","0","0.9072","55200","59200",53500,"NULL",1
"2767",2767,"Duke University","Durham","NC","27708","0.1399",780,35,"0.9103053435","0.0145","0.1545","0","0.1251","0.0261","0","0.0372","0","0.9453","108200","107900",104600,"NULL",1
"2924",2924,"Case Western Reserve University","Cleveland","OH","44106","0.5432",760,34,"0.8407155026","0.0424","0.272","0","0.1295","0.0152","0","0.0718","0","0.7813","82800","80900",76300,"NULL",1
"3282",3282,"Carnegie Mellon University","Pittsburgh","PA","15213-3890","0.2777",790,34,"0.7927135678","0.1159","0.2652","0","0.0423","0.0542","0","0.0587","0","0.8677","87700","96000",99900,"NULL",1
"3337",3337,"Haverford College","Haverford","PA","19041-1392","0.2289",760,NA,"PrivacySuppressed","0.0033","0","0","0.0977","0.0489","0","0.1336","0","0.9331","PrivacySuppressed","PrivacySuppressed",64700,"NULL",1
"3435",3435,"University of Pennsylvania","Philadelphia","PA","19104-6303","0.126",780,34,"0.8456692913","0.0215","0.1007","0","0.0883","0.0155","0","0.0151","0","0.9597","107100","109300",126600,"NULL",1
"3484",3484,"Swarthmore College","Swarthmore","PA","19081","0.1419",770,34,"0.8607594937","0.0293","0.0587","0","0.1547","0.0347","0","0.0507","0","0.9162","PrivacySuppressed","PrivacySuppressed",67900,"NULL",1
"3521",3521,"Brown University","Providence","RI","02912","0.096",770,34,"0.8972895863","0.0331","0.0605","0","0.1279","0.058","0","0.0393","0","0.9515","87200","76600",81400,"NULL",1
"3730",3730,"Vanderbilt University","Nashville","TN","37240","0.1423",790,34,"0.8579626973","0.0143","0.1662","0","0.0849","0.0114","0","0.0275","0","0.9219","78800","77300",78000,"NULL",1
"3866",3866,"Rice University","Houston","TX","77005-1827","0.1671",780,35,"0.7911392405","0.0182","0.244","0","0.0942","0.0386","0","0.0443","0","0.9243","74600","83600",81300,"NULL",1
"3980",3980,"Middlebury College","Middlebury","VT","05753","0.1832",740,NA,"0.7610294118","0.0089","0","0","0.1187","0.0148","0","0.0401","0","0.9377","61500","66000",80800,"NULL",1
"4077",4077,"University of Virginia-Main Campus","Charlottesville","VA","22903-2628","0.2955",740,33,"0.8442118227","0.0132","0.1345","0","0.0706","0.0183","0","0.0389","0","0.9343","71900","69300",78800,"NULL",1
"4085",4085,"Washington and Lee University","Lexington","VA","24450-2116","0.1947",740,NA,"0.8193548387","0.0119","0.0285","0","0.114","0.0451","0","0.0214","0","0.9","PrivacySuppressed","PrivacySuppressed",86400,"NULL",1
"4279",4279,"University of Wisconsin-Madison","Madison","WI","53706-1380","0.6862",740,31,"0.7266763848","0.0153","0.1007","0","0.1222","0.0198","0","0.0185","0","0.818","59400","57300",62400,"NULL",1
"4375",4375,"Stanford University","Stanford","CA","94305","0.0661",790,35,"0.8284789644","0.0834","0.1557","0.0397","0.0606","0.0268","0","0.0595","0","0.952","134100","115300",126100,"NULL",1
"258",258,"University of California-San Diego","La Jolla","CA","92093","0.3535",710,32,"0.5768739353","0.028","0.1076","0","0.2294","0.0199","0","0.0378","0","0.8625","70400","68300",69400,"NULL",1
"460",460,"Occidental College","Los Angeles","CA","90041-3392","0.3932",700,32,"0.8422939068","0","0","0","0.1186","0.0201","0","0.0336","0","0.8428","53600","54100",55600,"NULL",1
"529",529,"Scripps College","Claremont","CA","91711-3905","0.3241",700,34,"0.8288288288","0","0.0169","0","0.1181","0.0253","0","0.0169","0","0.9013","PrivacySuppressed","PrivacySuppressed",50600,"NULL",1
"602",602,"Colorado School of Mines","Golden","CO","80401","0.4455",710,33,"0.6838709677","0","0.8793","0","0","0.0693","0","0.0347","0","0.6654","78800","81700",88100,"NULL",1
"817",817,"University of Miami","Coral Gables","FL","33146","0.397",720,32,"0.7196782178","0.0082","0.0716","0","0.142","0.007","0","0.0173","0","0.8055","74000","62900",61100,"NULL",1
"1279",1279,"Rose-Hulman Institute of Technology","Terre Haute","IN","47803-3920","0.6547",730,34,"0.7253333333","0.07","0.8768","0","0.0168","0.0112","0","0.0252","0","0.7648","74900","78500",79700,"NULL",1
"1577",1577,"Tulane University of Louisiana","New Orleans","LA","70118-5698","0.2727",710,32,"0.6128440367","0.0313","0.0276","0","0.0913","0.0098","0","0.0141","0","0.7526","71800","66000",66400,"NULL",1
"1588",1588,"Colby College","Waterville","ME","04901-8840","0.2894",720,32,"0.8418367347","0.0191","0","0","0.0932","0.0254","0","0.0551","0","0.9032","PrivacySuppressed","PrivacySuppressed",68100,"NULL",1
"1961",1961,"Macalester College","Saint Paul","MN","55105-1899","0.3672",730,33,"0.8607142857","0.0137","0","0","0.1233","0.0571","0","0.0753","0","0.8982","PrivacySuppressed","PrivacySuppressed",56900,"NULL",1
"2003",2003,"St Olaf College","Northfield","MN","55057-1098","0.6038",700,32,"0.8463035019","0.0104","0","0","0.1497","0.0872","0","0.112","0","0.8636","50100","49900",51300,"NULL",1
"2474",2474,"Colgate University","Hamilton","NY","13346-1398","0.2935",720,33,"0.8785714286","0.0208","0","0","0.126","0.0235","0","0.036","0","0.8964","72600","68400",79500,"NULL",1
"2621",2621,"Polytechnic Institute of New York University","Brooklyn","NY","11201","0.6713",720,33,"0.4817927171","0.163","0.6196","0.1159","0.0471","0.0362","0","0.0036","0","0.6158","74800","75600",76000,"NULL",1
"2816",2816,"University of North Carolina at Chapel Hill","Chapel Hill","NC","27599","0.3297",700,32,"0.7573529412","0.0135","0","0","0.0913","0.022","0","0.0436","0","0.8936","60700","57400",64200,"NULL",1
"3227",3227,"Reed College","Portland","OR","97202-8199","0.3593",720,32,"0.7539267016","0","0","0","0.1327","0.0442","0","0.102","0","0.7412","PrivacySuppressed","PrivacySuppressed",43300,"NULL",1
"3271",3271,"Bryn Mawr College","Bryn Mawr","PA","19010","0.4136",720,33,"0.8421052632","0.0131","0","0","0.085","0.0621","0","0.0817","0","0.8184","76900","61900",58900,"NULL",1
"3358",3358,"Lafayette College","Easton","PA","18042-1768","0.3449",710,32,"0.8738170347","0.0196","0.2402","0","0.1078","0.0261","0","0.0278","0","0.9141","73400","67900",83500,"NULL",1
"3500",3500,"Villanova University","Villanova","PA","19085-1699","0.4562",710,32,"0.754","0.0074","0.1079","0","0.052","0.0234","0","0.0274","0","0.8805","81000","77400",87300,"NULL",1
"3532",3532,"Rhode Island School of Design","Providence","RI","02903-2784","0.2538",690,32,"0.8150134048","0","0","0","0","0","0","0","0","0.8629","47800","48500",48300,"NULL",1
"3906",3906,"The University of Texas at Austin","Austin","TX","78712","0.4675",710,32,"0.6702783486","0.0207","0.1117","0","0.0874","0.0206","0","0.0245","0","0.7867","64600","61600",66700,"NULL",1
"3907",3907,"The University of Texas at Dallas","Richardson","TX","75080-3021","0.5196",710,32,"0.5621912887","0.0421","0.0818","0","0.113","0.0122","0","0.015","0","0.6382","54200","58100",60100,"NULL",1
"3998",3998,"College of William and Mary","Williamsburg","VA","23187-8795","0.3217",720,33,"0.8103896104","0.0082","0","0","0.1212","0.0281","0","0.0452","0","0.8986","54400","66000",69200,"NULL",1
