SAT Frequency 
[1] 1262
    SAT        SATF
390   1 0.000792393
410   1 0.000792393
420   4 0.003169572
430   1 0.000792393
433   1 0.000792393
440   2 0.001584786
445   1 0.000792393
450   3 0.002377179
458   1 0.000792393
460  14 0.011093502
470  16 0.012678288
475   1 0.000792393
478   1 0.000792393
480  12 0.009508716
490  16 0.012678288
493   1 0.000792393
498   2 0.001584786
500  31 0.024564184
503   1 0.000792393
508   1 0.000792393
510  36 0.028526149
511   1 0.000792393
512   1 0.000792393
514   1 0.000792393
515   1 0.000792393
520  45 0.035657686
522   1 0.000792393
525   2 0.001584786
528   1 0.000792393
530  53 0.041996830
533   1 0.000792393
535   1 0.000792393
538   2 0.001584786
540  78 0.061806656
543   2 0.001584786
545   3 0.002377179
550  64 0.050713154
553   1 0.000792393
555   4 0.003169572
559   1 0.000792393
560  70 0.055467512
561   1 0.000792393
563   4 0.003169572
564   1 0.000792393
565   3 0.002377179
568   3 0.002377179
570  88 0.069730586
573   2 0.001584786
575   1 0.000792393
577   1 0.000792393
578   1 0.000792393
580  86 0.068145800
582   1 0.000792393
585   3 0.002377179
588   2 0.001584786
590  66 0.052297940
595   2 0.001584786
598   2 0.001584786
600  57 0.045166403
605   3 0.002377179
606   1 0.000792393
608   2 0.001584786
610  71 0.056259905
613   1 0.000792393
620  55 0.043581616
630  43 0.034072900
631   1 0.000792393
633   2 0.001584786
640  30 0.023771791
650  39 0.030903328
652   1 0.000792393
655   1 0.000792393
660  28 0.022187005
670  32 0.025356577
675   3 0.002377179
680  24 0.019017433
682   1 0.000792393
688   2 0.001584786
690  15 0.011885895
695   1 0.000792393
698   1 0.000792393
700  17 0.013470681
710  19 0.015055468
720   8 0.006339144
730   6 0.004754358
740   8 0.006339144
750  12 0.009508716
760   2 0.001584786
770   8 0.006339144
780  11 0.008716323
790   6 0.004754358
800   4 0.003169572
ACT Frequency 
[1] 1101
   ACT         ACTF
16   7 0.0063578565
17   9 0.0081743869
18  18 0.0163487738
19  18 0.0163487738
20  27 0.0245231608
21  35 0.0317892825
22  70 0.0635785649
23 129 0.1171662125
24 206 0.1871026340
25 171 0.1553133515
26 114 0.1035422343
27  92 0.0835603996
28  61 0.0554041780
29  35 0.0317892825
30  34 0.0308810173
31  18 0.0163487738
32  20 0.0181653043
33  12 0.0108991826
34  14 0.0127157130
35  10 0.0090826521
36   1 0.0009082652
ADM_RATE Frequency 
[1] 1898
       ADM         ADMF
0        1 0.0005268704
0.0723   1 0.0005268704
0.0731   1 0.0005268704
0.0734   1 0.0005268704
0.0742   1 0.0005268704
0.0753   1 0.0005268704
0.0838   1 0.0005268704
0.088    1 0.0005268704
0.0934   1 0.0005268704
0.0984   1 0.0005268704
0.1      1 0.0005268704
0.1008   2 0.0010537408
0.1255   1 0.0005268704
0.1257   1 0.0005268704
0.1407   1 0.0005268704
0.1426   1 0.0005268704
0.1429   1 0.0005268704
0.1474   1 0.0005268704
0.1531   1 0.0005268704
0.1565   1 0.0005268704
0.1612   1 0.0005268704
0.171    1 0.0005268704
0.1722   1 0.0005268704
0.1728   1 0.0005268704
0.1795   1 0.0005268704
0.1836   1 0.0005268704
0.1857   1 0.0005268704
0.1882   1 0.0005268704
0.1886   1 0.0005268704
0.19     1 0.0005268704
0.192    1 0.0005268704
0.1947   1 0.0005268704
0.1966   1 0.0005268704
0.1978   1 0.0005268704
0.2043   1 0.0005268704
0.2095   1 0.0005268704
0.2129   2 0.0010537408
0.2162   1 0.0005268704
0.2164   1 0.0005268704
0.2186   1 0.0005268704
0.2187   1 0.0005268704
0.2203   1 0.0005268704
0.2222   1 0.0005268704
0.2225   1 0.0005268704
0.2239   1 0.0005268704
0.2252   1 0.0005268704
0.2263   1 0.0005268704
0.2266   1 0.0005268704
0.2312   1 0.0005268704
0.2335   1 0.0005268704
0.2344   1 0.0005268704
0.2361   1 0.0005268704
0.2364   1 0.0005268704
0.2398   1 0.0005268704
0.2434   1 0.0005268704
0.2435   1 0.0005268704
0.2456   1 0.0005268704
0.2493   1 0.0005268704
0.25     1 0.0005268704
0.2505   1 0.0005268704
0.2539   1 0.0005268704
0.2566   1 0.0005268704
0.2585   1 0.0005268704
0.2597   1 0.0005268704
0.2598   1 0.0005268704
0.2605   1 0.0005268704
0.2619   1 0.0005268704
0.2639   1 0.0005268704
0.2711   1 0.0005268704
0.2715   1 0.0005268704
0.2727   1 0.0005268704
0.2757   1 0.0005268704
0.2766   1 0.0005268704
0.2783   1 0.0005268704
0.2785   1 0.0005268704
0.2791   1 0.0005268704
0.281    1 0.0005268704
0.2819   1 0.0005268704
0.2824   1 0.0005268704
0.2827   1 0.0005268704
0.283    1 0.0005268704
0.2836   1 0.0005268704
0.2844   1 0.0005268704
0.2847   1 0.0005268704
0.2857   1 0.0005268704
0.2864   1 0.0005268704
0.2877   1 0.0005268704
0.2894   1 0.0005268704
0.2906   1 0.0005268704
0.2915   1 0.0005268704
0.2927   1 0.0005268704
0.2939   1 0.0005268704
0.2944   1 0.0005268704
0.2948   1 0.0005268704
0.2955   1 0.0005268704
0.2966   1 0.0005268704
0.298    1 0.0005268704
0.2987   1 0.0005268704
0.2989   1 0.0005268704
0.2997   1 0.0005268704
0.2998   1 0.0005268704
0.3017   1 0.0005268704
0.3021   1 0.0005268704
0.3023   1 0.0005268704
0.3025   1 0.0005268704
0.3028   1 0.0005268704
0.3056   1 0.0005268704
0.3063   1 0.0005268704
0.3065   1 0.0005268704
0.3077   1 0.0005268704
0.3081   1 0.0005268704
0.3082   1 0.0005268704
0.3094   1 0.0005268704
0.3108   1 0.0005268704
0.311    1 0.0005268704
0.3112   1 0.0005268704
0.3137   1 0.0005268704
0.3138   1 0.0005268704
0.3139   1 0.0005268704
0.3161   1 0.0005268704
0.3163   1 0.0005268704
0.3173   1 0.0005268704
0.3177   1 0.0005268704
0.3179   1 0.0005268704
0.3181   1 0.0005268704
0.3183   1 0.0005268704
0.3184   1 0.0005268704
0.3192   1 0.0005268704
0.3196   1 0.0005268704
0.3204   1 0.0005268704
0.3211   1 0.0005268704
0.3218   1 0.0005268704
0.3226   1 0.0005268704
0.3231   1 0.0005268704
0.3234   1 0.0005268704
0.3239   1 0.0005268704
0.3241   1 0.0005268704
0.3249   1 0.0005268704
0.3255   1 0.0005268704
0.3258   1 0.0005268704
0.326    1 0.0005268704
0.3261   1 0.0005268704
0.3262   1 0.0005268704
0.3267   1 0.0005268704
0.3268   1 0.0005268704
0.3274   1 0.0005268704
0.3278   1 0.0005268704
0.3297   1 0.0005268704
0.3299   2 0.0010537408
0.3302   1 0.0005268704
0.3318   1 0.0005268704
0.3322   1 0.0005268704
0.333    1 0.0005268704
0.3332   1 0.0005268704
0.3333   2 0.0010537408
0.3335   1 0.0005268704
0.3346   1 0.0005268704
0.3356   1 0.0005268704
0.3375   1 0.0005268704
0.3378   1 0.0005268704
0.3379   1 0.0005268704
0.3397   1 0.0005268704
0.3402   1 0.0005268704
0.3403   2 0.0010537408
0.3404   1 0.0005268704
0.3408   1 0.0005268704
0.341    1 0.0005268704
0.3411   1 0.0005268704
0.3417   1 0.0005268704
0.3418   1 0.0005268704
0.342    1 0.0005268704
0.3429   1 0.0005268704
0.3432   1 0.0005268704
0.3444   1 0.0005268704
0.3452   1 0.0005268704
0.3462   1 0.0005268704
0.3474   1 0.0005268704
0.3476   1 0.0005268704
0.3478   2 0.0010537408
0.349    1 0.0005268704
0.3491   1 0.0005268704
0.3499   1 0.0005268704
0.3514   1 0.0005268704
0.352    1 0.0005268704
0.3521   1 0.0005268704
0.3529   1 0.0005268704
0.3534   1 0.0005268704
0.3541   1 0.0005268704
0.3547   2 0.0010537408
0.3551   1 0.0005268704
0.3562   1 0.0005268704
0.3565   1 0.0005268704
0.357    1 0.0005268704
0.358    1 0.0005268704
0.3582   1 0.0005268704
0.3587   1 0.0005268704
0.3593   1 0.0005268704
0.3594   1 0.0005268704
0.3621   1 0.0005268704
0.3622   1 0.0005268704
0.3624   1 0.0005268704
0.3628   1 0.0005268704
0.3634   1 0.0005268704
0.3636   2 0.0010537408
0.3637   1 0.0005268704
0.3642   1 0.0005268704
0.3649   1 0.0005268704
0.365    1 0.0005268704
0.3659   1 0.0005268704
0.366    1 0.0005268704
0.3673   1 0.0005268704
