"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"6566","DeVry University-Kentucky","Louisville","KY","40223-3887","0.8462","NULL","NULL","0.126394998","0.3333","0","0","0","0","0","0","0","NULL","43900","52000","60200","73100",1
"6567","Chamberlain College of Nursing-Illinois","Addison","IL","60101","0.7273","NULL","NULL","0.4153031761","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","98800",1
"6568","Chamberlain College of Nursing-Ohio","Columbus","OH","43209","0.8529","NULL","NULL","0.4153031761","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","98800",1
"6569","Chamberlain College of Nursing-Arizona","Phoenix","AZ","85021","0.75","NULL","NULL","0.4153031761","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","98800",1
"6570","Lincoln Technical Institute-Seminole","Seminole","FL","33777","NULL","NULL","NULL","0.6698564593","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43800",3
"6571","Career Quest Learning Centers-Jackson","Jackson","MI","48901","NULL","NULL","NULL","0.5983263598","0.0452","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","40500",3
"6572","Regency Beauty Institute-Fort Collins","Fort Collins","CO","80528","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6573","Regency Beauty Institute-Tolleson","Phoenix","AZ","85033","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6574","Regency Beauty Institute-Pasadena","Pasadena","TX","77505","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6575","Regency Beauty Institute-Dayton","Dayton","OH","45459","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6576","Regency Beauty Institute-Akron","Akron","OH","44310-0000","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6577","Regency Beauty Institute-Detroit Southgate","Southgate","MI","48195","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6578","Regency Beauty Institute-Flint","Flint","MI","48507","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6579","Regency Beauty Institute-Grand Rapids","Walker","MI","49544","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6580","Regency Beauty Institute-Cypresswood","Spring","TX","77373","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6581","FastTrain of Kendall","Miami","FL","33176-8162","NULL","NULL","NULL","0.4411764706","0","0","0.2716","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6582","FastTrain of Ft Lauderdale","Plantation","FL","33317-3127","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1923","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6583","FastTrain of Pembroke Pines","Pembroke Pines","FL","33027-1212","NULL","NULL","NULL","PrivacySuppressed","0","0","0.4444","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6584","FastTrain of Tampa","Tampa","FL","33612-5516","NULL","NULL","NULL","PrivacySuppressed","0","0","0.2121","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6585","FastTrain of Clearwater","Clearwater","FL","33763-1751","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0769","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6586","Bryan University","Rogers","AR","72756","0.5511","NULL","NULL","0.3956521739","0.0408","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40000",2
"6587","Regency Beauty Institute-Austin","Austin","TX","78704","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6588","Regency Beauty Institute-Mesa","Mesa","AZ","85202","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6589","Regency Beauty Institute-Nashville","Antioch","TN","37013","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
"6590","Regency Beauty Institute-Charlotte","Charlotte","NC","28273","NULL","NULL","NULL","0.606273215","0","0","0","0","0","0","0","0","NULL","19400","23000","25700","36200",3
