"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"2787","James Sprunt Community College","Kenansville","NC","28349","NULL","NULL","NULL","0.2427184466","0.0353","0","0","0","0","0","0","0","NULL","26100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.5072463768","0.375","0.6451612903","9789","0.2033195021","PrivacySuppressed","PrivacySuppressed"
"2788","Laurel University","High Point","NC","27265-3115","0.5202","NULL","NULL","0.2444444444","0","0","0","0","0","0","0","0","0.1818","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","18957","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2789","Johnson C Smith University","Charlotte","NC","28216-5398","0.3807","475","19","0.3619344774","0.0836","0.0145","0","0.08","0.0109","0","0.0109","0","0.4162","30800","32600","36000","NULL",1,"0.3680203046","0.3571428571","0.472","0.309484193","0.4232804233","0.3946587537","0.3183139535","0.3313953488","28872","0.3203592814","0.3826530612","0.4504504505"
"2790","Johnston Community College","Smithfield","NC","27577-2350","NULL","NULL","NULL","0.2044506259","0.0131","0","0.0263","0","0","0","0","0","NULL","28300","PrivacySuppressed","PrivacySuppressed","NULL",2,"0.0925","0.4285714286","0.8666666667","0.5639097744","0.7983193277","0.72","0.3884892086","0.7283236994","13217","0.1765957447","PrivacySuppressed","PrivacySuppressed"
"2791","Lees-McRae College","Banner Elk","NC","28604","0.6754","530","23","0.4970930233","0","0","0","0.1005","0.0096","0","0","0","0.343","29900","33900","38300","NULL",1,"0.5222929936","0.4552238806","0.8577586207","0.7148288973","0.8464912281","0.82","0.7418300654","0.8918918919","34838","0.4384615385","0.5462184874","0.5157894737"
"2792","Lenoir Community College","Kinston","NC","28502-0188","NULL","NULL","NULL","0.1342105263","0.0269","0.0054","0.0269","0","0","0","0","0","NULL","25100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","8907","0.1194267516","PrivacySuppressed","PrivacySuppressed"
"2793","Lenoir-Rhyne University","Hickory","NC","28601","0.671","560","24","0.5081585082","0.0071","0","0","0.0534","0","0","0.0285","0","0.4899","38000","42200","41200","NULL",1,"0.4644808743","0.4222222222","0.9545454545","0.8235294118","0.8879056047","0.8985507246","0.7529976019","0.8398791541","37825","0.4375","0.512987013","0.5646258503"
"2794","Leons Beauty School Inc","Greensboro","NC","27403","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2795","Livingstone College","Salisbury","NC","28144","0.6367","410","17","0.2142857143","0.0636","0","0","0.0636","0.0273","0","0","0","0.2275","24500","27200","31000","NULL",1,"PrivacySuppressed","PrivacySuppressed","0.2617801047","0.1905594406","0.2183908046","0.1944444444","0.1357827476","0.1956521739","25050","0.204379562","PrivacySuppressed","PrivacySuppressed"
"2796","Louisburg College","Louisburg","NC","27549-2399","0.4437","440","17","0.1220930233","0","0","0","0.087","0","0","0","0","NULL","25300","27000","30700","NULL",2,"PrivacySuppressed","PrivacySuppressed","0.8","0.4814814815","0.6569767442","0.5633802817","0.3188908146","0.6732026144","24958","0.1015228426","PrivacySuppressed","PrivacySuppressed"
"2797","Mars Hill University","Mars Hill","NC","28754","0.6759","530","24","0.3493670886","0.0135","0","0","0.0766","0.036","0","0.018","0","0.4615","28300","33200","36900","NULL",1,"0.4279069767","0.4130434783","0.844765343","0.7048346056","0.8540145985","0.7838827839","0.6318082789","0.7937743191","35316","0.2847682119","0.4210526316","0.3513513514"
"2798","Martin Community College","Williamston","NC","27892-9988","NULL","NULL","NULL","0.1602209945","0.034","0","0.0136","0","0","0","0","0","NULL","22200","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","10179","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2799","Mayland Community College","Spruce Pine","NC","28777","NULL","NULL","NULL","0.1911111111","0","0","0.0082","0","0","0","0","0","NULL","22000","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","13347","0.1731843575","PrivacySuppressed","PrivacySuppressed"
"2800","McDowell Technical Community College","Marion","NC","28752-8728","NULL","NULL","NULL","0.1837349398","0.0323","0","0.0072","0","0","0","0","0","NULL","23100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","14384","0.1778656126","PrivacySuppressed","PrivacySuppressed"
"2801","Mercy School of Nursing","Charlotte","NC","28273","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2802","Meredith College","Raleigh","NC","27607-5298","0.6213","560","24","0.5640449438","0.0056","0","0","0.0924","0.0336","0","0.0112","0","0.5947","36800","39800","41000","NULL",1,"0.5388127854","0.4944237918","0.9381188119","0.8670360111","0.9316628702","0.9424603175","0.8609271523","0.9313501144","37761","0.5037593985","0.5923076923","0.5879120879"
"2803","Methodist University","Fayetteville","NC","28311-1420","0.6058","550","23","0.094214876","0.0171","0","0.0171","0.0685","0.0103","0","0.024","0","0.3831","42100","42000","46900","NULL",1,"0.3043478261","0.338658147","0.8575581395","0.6886597938","0.8486140725","0.8117647059","0.6518883415","0.8163265306","43915","0.0830188679","0.0943396226","0.1104972376"
"2804","Miller-Motte College-Wilmington","Wilmington","NC","28405","NULL","NULL","NULL","0.3869047619","0.0252","0","0","0","0","0","0","0","0.2753","23100","30600","27200","NULL",1,"0.3587017348","0.4709821429","0.4709443099","0.3246717724","0.5228426396","0.5651052858","0.459764043","0.6192411924","24026","0.3489341983","0.4908759124","0.5533333333"
"2805","Mitchell Community College","Statesville","NC","28677-5293","NULL","NULL","NULL","0.1078904992","0.0683","0","0.0602","0","0","0","0","0","NULL","25900","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","14231","0.1054852321","PrivacySuppressed","PrivacySuppressed"
"2806","Mitchells Hairstyling Academy-Greenville","Greenville","NC","27858","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2807","Mitchells Hairstyling Academy-Wilson","Wilson","NC","27893","NULL","NULL","NULL","0.6033057851","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","0.701754386","PrivacySuppressed","PrivacySuppressed","0.735042735","PrivacySuppressed","PrivacySuppressed","NULL","0.4935064935","PrivacySuppressed","PrivacySuppressed"
"2808","Regina's College of Beauty-Monroe","Monroe","NC","28110","NULL","NULL","NULL","0.4418604651","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2809","Montgomery Community College","Troy","NC","27371","NULL","NULL","NULL","0.1461988304","0.0492","0","0","0","0","0","0","0","NULL","23900","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","10423","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2810","Montreat College","Montreat","NC","28757-1267","0.5436","560","NULL","0.4","0.0093","0","0","0.0372","0","0","0","0","0.3853","34900","41600","47900","NULL",1,"0.4759358289","0.4821428571","0.8429752066","0.7276119403","0.8510638298","0.8315789474","0.8122977346","0.8588235294","34277","0.358490566","0.446969697","0.3780487805"
"2811","University of Mount Olive","Mount Olive","NC","28365-0919","0.5404","520","NULL","0.4305084746","0.0078","0","0","0.0029","0","0","0.002","0","0.4138","34800","46400","49300","NULL",1,"0.4868603043","0.4875621891","0.8395061728","0.7604166667","0.8861111111","0.813876652","0.711971831","0.8600823045","26047","0.3806343907","0.464","0.5145631068"
"2812","College of Wilmington","Wilmington","NC","28403","NULL","NULL","NULL","0.1956521739","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2813","Nash Community College","Rocky Mount","NC","27804","NULL","NULL","NULL","0.1319311663","0.0387","0","0.0939","0","0","0","0","0","NULL","26600","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","10036","0.1149144254","PrivacySuppressed","PrivacySuppressed"
"2814","North Carolina A & T State University","Greensboro","NC","27411","0.6644","500","22","0.1033787191","0.0305","0.1432","0.0681","0.025","0.0063","0","0.0039","0","0.4255","35100","38000","42400","NULL",1,"0.1708758732","0.1688311688","0.6378600823","0.4559114274","0.6031904287","0.6038961039","0.3936772047","0.5393474088","14721","0.0844444444","0.1121076233","0.1304347826"
"2815","University of North Carolina at Asheville","Asheville","NC","28804-8510","0.6846","620","27","0.5432960894","0.0533","0.0112","0","0.0561","0.0309","0","0.0365","0","0.552","36200","39400","40500","NULL",1,"0.5229885057","0.5696721311","0.8685185185","0.7926829268","0.8744292237","0.8356164384","0.7662337662","0.8318777293","16303","0.4825174825","0.5695067265","0.5990338164"
"2816","University of North Carolina at Chapel Hill","Chapel Hill","NC","27599","0.3297","700","32","0.7573529412","0.0135","0","0","0.0913","0.022","0","0.0436","0","0.8936","60700","57400","64200","NULL",1,"0.5692963753","0.7623239437","0.9693290735","0.9358139535","0.9607717042","0.9561734213","0.9064587973","0.9558905639","21251","0.6947852761","0.7426810478","0.8071216617"
"2817","University of North Carolina at Charlotte","Charlotte","NC","28223-0001","0.6964","590","25","0.4034620506","0.0341","0.0752","0.0371","0.0293","0.0177","0","0.0267","0","0.5336","47100","45300","49000","NULL",1,"0.513229927","0.5355997434","0.9298567756","0.8722689076","0.9197530864","0.9095375723","0.8208078335","0.8885734564","17324","0.3921698739","0.3896872358","0.434741784"
"2818","University of North Carolina at Greensboro","Greensboro","NC","27402-6170","0.5869","560","24","0.4736057262","0.0254","0","0","0.0402","0.0034","0","0.0047","0","0.5429","37900","40900","40600","NULL",1,"0.5032333921","0.5333926981","0.8874887489","0.7959101844","0.8945669715","0.8544212797","0.7428222358","0.8680521991","17438","0.4399375975","0.4533702678","0.5394736842"
"2819","North Carolina Central University","Durham","NC","27707","0.5175","480","19","0.4291237113","0.0305","0","0","0.0458","0.0065","0","0.0065","0","0.4256","32600","36500","37700","NULL",1,"0.4320987654","0.449197861","0.496460177","0.3634538153","0.4585889571","0.4190251572","0.3056265985","0.4588394062","16765","0.4094117647","0.4335378323","0.4976525822"
"2820","University of North Carolina School of the Arts","Winston-Salem","NC","27127-2738","0.4168","600","26","0.6158536585","0","0","0","0","0","0","0","0","0.6359","PrivacySuppressed","PrivacySuppressed","41500","NULL",1,"0.6811594203","0.623655914","0.8296703297","0.7704918033","0.8775510204","0.8409090909","0.7874015748","0.8461538462","19208","0.5365853659","0.54","0.7123287671"
"2821","North Carolina State University at Raleigh","Raleigh","NC","27695-7001","0.5261","660","29","0.6233834785","0.0196","0.2261","0.0073","0.1015","0.0215","0","0.0217","0.0021","0.7062","55500","54700","55400","NULL",1,"0.5808202654","0.6483585859","0.9543094496","0.9022738268","0.9406952965","0.9544846051","0.8884852888","0.9368177307","19288","0.5712881023","0.6237885463","0.6554673183"
"2822","North Carolina Wesleyan College","Rocky Mount","NC","27804","0.5356","490","NULL","0.3827160494","0.0762","0","0","0.0127","0.019","0","0.0095","0","0.2436","35800","47000","46100","NULL",1,"0.4105571848","0.4365079365","0.6481481481","0.472027972","0.7576791809","0.6430868167","0.5577507599","0.718061674","35570","0.3694779116","0.3758389262","0.4318181818"
"2823","University of North Carolina Wilmington","Wilmington","NC","28403-5963","0.5292","630","26","0.6096187175","0.0114","0","0","0.0777","0.0081","0","0.0276","0","0.6869","40500","45000","46100","NULL",1,"0.6494140625","0.6604444444","0.9104613979","0.8324468085","0.8983986748","0.8680313589","0.7958115183","0.8741144414","17094","0.5194244604","0.6206349206","0.6663275687"
"2824","Pamlico Community College","Grantsboro","NC","28529","NULL","NULL","NULL","0.1717171717","0","0","0.0667","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","9364","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2825","William Peace University","Raleigh","NC","27604-1194","0.5919","510","23","0.3430962343","0","0","0","0.0809","0","0","0","0","0.3054","32300","34200","40000","NULL",1,"0.4722222222","0.3636363636","0.9057971014","0.7765363128","0.8789808917","0.8666666667","0.7764227642","0.8587570621","39343","0.3723404255","0.4","0.2777777778"
"2826","University of North Carolina at Pembroke","Pembroke","NC","28372-1510","0.6984","510","21","0.2072072072","0.021","0","0","0.0818","0.0055","0","0.0276","0","0.3423","33700","35100","38000","NULL",1,"0.2283702213","0.2087628866","0.8604240283","0.7158249158","0.842185129","0.7463235294","0.5845711548","0.7754237288","14908","0.2101167315","0.1954545455","0.2157434402"
"2827","Pfeiffer University","Misenheimer","NC","28109","0.5978","530","23","0.4103343465","0.0747","0","0","0.0172","0.0172","0","0.0057","0","0.4133","36900","40100","43700","NULL",1,"0.4120879121","0.41875","0.9176470588","0.8118811881","0.9042553191","0.8466898955","0.7226890756","0.8674242424","32667","0.4196428571","0.3858267717","0.4333333333"
"2828","Piedmont International University","Winston-Salem","NC","27101-5025","0.5258","510","20","0.2952380952","0","0","0","0","0","0","0","0","0.32","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","20061","PrivacySuppressed","0.3673469388","PrivacySuppressed"
"2829","Piedmont Community College","Roxboro","NC","27573","NULL","NULL","NULL","0.0868544601","0.0179","0","0.0477","0","0","0","0","0.0179","NULL","22200","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","13274","0.0689655172","PrivacySuppressed","PrivacySuppressed"
"2830","Pitt Community College","Winterville","NC","28590","NULL","NULL","NULL","0.1810154525","0.0329","0.0037","0.0351","0","0","0","0","0.0124","NULL","27500","35100","42000","NULL",2,"0.1218604651","0.3413173653","0.8190045249","0.606504065","0.7342857143","0.6785714286","0.3993197279","0.6666666667","9559","0.1475279107","0.2543209877","0.2614379085"
"2831","Queens University of Charlotte","Charlotte","NC","28274-0001","0.5266","580","26","0.595323741","0.0041","0","0","0.0477","0.0187","0","0.0062","0","0.5277","36400","44200","45200","NULL",1,"0.5056603774","0.6403940887","0.92","0.783625731","0.8766066838","0.9155629139","0.8304431599","0.9026915114","38724","0.5288461538","0.6220930233","0.6477272727"
"2832","Randolph Community College","Asheboro","NC","27205","NULL","NULL","NULL","0.0435643564","0.0606","0","0.0208","0","0","0","0","0","NULL","25100","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","12903","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2833","Richmond Community College","Hamlet","NC","28345-1189","NULL","NULL","NULL","0.1286307054","0.0155","0","0.0774","0","0","0","0","0","NULL","23500","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","10944","0.1081081081","PrivacySuppressed","PrivacySuppressed"
"2834","Mid-Atlantic Christian University","Elizabeth City","NC","27909-4054","0.4167","500","NULL","0.3698630137","0","0","0","0","0","0","0","0","0.625","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",1,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23204","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2835","Roanoke-Chowan Community College","Ahoskie","NC","27910-9522","NULL","NULL","NULL","0.1153846154","0.0385","0","0.0641","0","0","0","0","0","NULL","23300","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","6821","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"2836","Robeson Community College","Lumberton","NC","28360","NULL","NULL","NULL","0.1170731707","0.0484","0","0.0208","0","0","0","0","0","NULL","23800","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","12019","0.1073446328","PrivacySuppressed","PrivacySuppressed"
"2837","Rockingham Community College","Wentworth","NC","27375-0038","NULL","NULL","NULL","0.1733576642","0.0313","0","0.0578","0","0","0","0","0","NULL","26000","PrivacySuppressed","PrivacySuppressed","NULL",2,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","10984","0.144963145","PrivacySuppressed","PrivacySuppressed"
