SAT Frequency 
[1] 1286
    SAT        SATF
0.3516   1 0.0005149331
0.3532   1 0.0005149331
0.3535   1 0.0005149331
0.3571   1 0.0005149331
0.3593   1 0.0005149331
0.36     1 0.0005149331
0.3604   1 0.0005149331
0.3607   1 0.0005149331
0.3623   1 0.0005149331
0.3626   1 0.0005149331
0.3632   1 0.0005149331
0.3641   1 0.0005149331
0.3644   1 0.0005149331
0.3648   1 0.0005149331
0.3655   1 0.0005149331
0.3672   1 0.0005149331
0.3673   1 0.0005149331
0.3695   1 0.0005149331
0.3733   1 0.0005149331
0.374    2 0.0010298661
0.3741   1 0.0005149331
0.3759   1 0.0005149331
0.3775   1 0.0005149331
0.3778   1 0.0005149331
0.378    1 0.0005149331
0.3785   2 0.0010298661
0.3807   1 0.0005149331
0.3815   1 0.0005149331
0.3822   1 0.0005149331
0.3845   1 0.0005149331
0.3853   1 0.0005149331
0.3866   1 0.0005149331
0.3874   1 0.0005149331
0.3885   1 0.0005149331
0.3902   1 0.0005149331
0.3909   1 0.0005149331
0.3911   1 0.0005149331
0.3918   1 0.0005149331
0.3924   1 0.0005149331
0.3931   1 0.0005149331
0.3932   1 0.0005149331
0.3935   1 0.0005149331
0.3947   1 0.0005149331
0.3959   1 0.0005149331
0.3964   1 0.0005149331
0.397    1 0.0005149331
0.3978   1 0.0005149331
0.3981   1 0.0005149331
0.3987   1 0.0005149331
0.4004   1 0.0005149331
0.4006   1 0.0005149331
0.4014   1 0.0005149331
0.4018   1 0.0005149331
0.4027   1 0.0005149331
0.4028   1 0.0005149331
0.403    1 0.0005149331
0.4045   1 0.0005149331
0.4046   1 0.0005149331
0.4049   2 0.0010298661
0.4063   1 0.0005149331
0.4071   2 0.0010298661
0.4072   1 0.0005149331
0.4076   1 0.0005149331
0.4086   1 0.0005149331
0.4095   1 0.0005149331
0.4113   1 0.0005149331
0.412    1 0.0005149331
0.4127   1 0.0005149331
0.4136   1 0.0005149331
0.4145   1 0.0005149331
0.415    1 0.0005149331
0.4154   2 0.0010298661
0.4167   1 0.0005149331
0.4168   1 0.0005149331
0.417    1 0.0005149331
0.4187   1 0.0005149331
0.419    1 0.0005149331
0.4208   1 0.0005149331
0.421    1 0.0005149331
0.4211   1 0.0005149331
0.422    1 0.0005149331
0.4226   1 0.0005149331
0.4227   1 0.0005149331
0.4246   1 0.0005149331
0.4256   1 0.0005149331
0.4259   1 0.0005149331
0.4262   1 0.0005149331
0.4263   1 0.0005149331
0.4265   2 0.0010298661
0.4269   1 0.0005149331
0.4292   1 0.0005149331
0.4301   1 0.0005149331
0.4315   1 0.0005149331
0.4319   1 0.0005149331
0.4321   1 0.0005149331
0.4322   1 0.0005149331
0.4325   2 0.0010298661
0.4335   1 0.0005149331
0.4338   1 0.0005149331
0.4343   1 0.0005149331
0.4354   2 0.0010298661
0.4358   1 0.0005149331
0.4359   1 0.0005149331
0.4366   1 0.0005149331
0.4367   1 0.0005149331
0.4372   1 0.0005149331
0.4377   1 0.0005149331
0.4389   1 0.0005149331
0.4399   1 0.0005149331
0.4403   1 0.0005149331
0.441    1 0.0005149331
0.442    1 0.0005149331
0.4438   1 0.0005149331
0.4441   1 0.0005149331
0.4444   2 0.0010298661
0.4449   1 0.0005149331
0.4455   1 0.0005149331
0.4457   1 0.0005149331
0.4458   2 0.0010298661
0.4467   1 0.0005149331
0.4468   1 0.0005149331
0.4471   2 0.0010298661
0.4474   1 0.0005149331
0.4487   1 0.0005149331
0.45     1 0.0005149331
0.4504   1 0.0005149331
0.4506   1 0.0005149331
0.451    1 0.0005149331
0.4518   1 0.0005149331
0.4522   1 0.0005149331
0.4524   2 0.0010298661
0.4539   1 0.0005149331
0.4549   1 0.0005149331
0.455    1 0.0005149331
0.4551   1 0.0005149331
0.4562   2 0.0010298661
0.4563   1 0.0005149331
0.4579   1 0.0005149331
0.458    1 0.0005149331
0.4589   1 0.0005149331
0.459    1 0.0005149331
0.4599   3 0.0015447992
0.4604   1 0.0005149331
0.4611   1 0.0005149331
0.4613   1 0.0005149331
0.4614   2 0.0010298661
0.4623   1 0.0005149331
0.4624   1 0.0005149331
0.463    1 0.0005149331
0.4631   1 0.0005149331
0.4647   1 0.0005149331
0.4656   2 0.0010298661
0.4666   1 0.0005149331
0.4669   1 0.0005149331
0.4671   1 0.0005149331
0.4672   1 0.0005149331
0.4675   2 0.0010298661
0.4676   1 0.0005149331
0.4688   1 0.0005149331
0.4691   1 0.0005149331
0.4694   1 0.0005149331
0.4695   1 0.0005149331
0.47     3 0.0015447992
0.4701   1 0.0005149331
0.4709   1 0.0005149331
0.4712   1 0.0005149331
0.4713   1 0.0005149331
0.4726   1 0.0005149331
0.4727   1 0.0005149331
0.4743   2 0.0010298661
0.4746   1 0.0005149331
0.4747   1 0.0005149331
0.4785   1 0.0005149331
0.4786   1 0.0005149331
0.4794   1 0.0005149331
0.4796   1 0.0005149331
0.4798   1 0.0005149331
0.48     2 0.0010298661
0.4813   1 0.0005149331
0.4819   1 0.0005149331
0.4824   1 0.0005149331
0.4826   1 0.0005149331
0.483    1 0.0005149331
0.4831   1 0.0005149331
0.4842   2 0.0010298661
