"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"3653",3653,"Sewanee-The University of the South","Sewanee","TN","37383-1000","0.6027","650","29","0.7058823529","0.0091",NA,NA,"0.1299","0.0181",NA,"0.0332",NA,"0.7805","NULL","NULL","NULL","NULL",1
"3661",3661,"Southern Adventist University","Collegedale","TN","37315-0370","0.3826","580","24","0.3774509804","0.0197","0.0036","0.0036","0.0969","0.009",NA,"0.0108",NA,"0.5969","NULL","NULL","NULL","NULL",1
"3662",3662,"Southern College of Optometry","Memphis","TN","38104-2211","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3663",3663,"Tennessee Wesleyan College","Athens","TN","37303","0.713","540","23","0.4822888283","0.0035",NA,NA,"0.0175","0.0211",NA,"0.007",NA,"0.4444","NULL","NULL","NULL","NULL",1
"3664",3664,"The University of Tennessee-Chattanooga","Chattanooga","TN","37403-2598","0.7757","590","26","0.367826087","0.0098","0.0665","0.0159","0.0518","0.0073",NA,"0.0299",NA,"0.3714","NULL","NULL","NULL","NULL",1
"3665",3665,"The University of Tennessee-Knoxville","Knoxville","TN","37996","0.7249","650","28","0.5543704475","0.0072","0.0965",NA,"0.0466","0.0065",NA,"0.0182",NA,"0.6754","NULL","NULL","NULL","NULL",1
"3666",3666,"The University of Tennessee-Martin","Martin","TN","38238-0002","0.7668","NULL","24","0.3777901786","0.0096","0.0169",NA,"0.0418","0.0024",NA,"0.0233",NA,"0.4645","NULL","NULL","NULL","NULL",1
"3667",3667,"Fountainhead College of Technology","Knoxville","TN","37932","NULL","NULL","NULL","0.6148648649","0.7302",NA,"0.1111",NA,NA,NA,NA,NA,"0.9032","NULL","NULL","NULL","NULL",1
"3669",3669,"Tennessee State University","Nashville","TN","37209-1561","NULL","NULL","NULL","0.2482884528","0.0131","0.0411","0.0093","0.0401","0.0037",NA,"0.0168",NA,"0.2956","NULL","NULL","NULL","NULL",1
"3670",3670,"Tennessee Technological University","Cookeville","TN","38505-0001","0.9316","650","26","0.4594229035","0.0212","0.125","0.0212","0.0364","0.0065",NA,"0.0293",NA,"0.5064","NULL","NULL","NULL","NULL",1
"3671",3671,"Tennessee Temple University","Winston Salem","NC","27101","0.7843","530","18","0.1024930748",NA,NA,NA,NA,NA,NA,NA,NA,"0.1897","NULL","NULL","NULL","NULL",1
"3672",3672,"Trevecca Nazarene University","Nashville","TN","37210","0.772","570","25","0.1558139535","0.0763",NA,NA,"0.0289","0.0079",NA,"0.0079",NA,"0.4664","NULL","NULL","NULL","NULL",1
